"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL3561633";"";"";"Small molecule";"0";"97.12";"1";"1";"0.74";"39.16";"2";"1";"0";"1";"Y";"0.56";"None";"7.85";"0.16";"-0.42";"1";"MOL";"-1";"7";"2";"2";"0";"97.0528";"NEUTRAL";"C5H7NO";"NCc1ccco1"
"CHEMBL327032";"";"";"Small molecule";"0";"89.14";"1";"1";"-0.28";"46.25";"2";"2";"0";"2";"Y";"0.49";"None";"9.84";"-0.38";"-2.72";"0";"MOL";"-1";"6";"2";"3";"0";"89.0841";"BASE";"C4H11NO";"CCC(N)CO"
"CHEMBL27104";"";"1-Isocyanato-Butane";"Small molecule";"0";"99.13";"1";"6";"1.12";"29.43";"2";"0";"0";"3";"Y";"0.30";"None";"None";"1.28";"1.28";"0";"MOL";"-1";"7";"2";"0";"0";"99.0684";"NEUTRAL";"C5H9NO";"CCCCN=C=O"
"CHEMBL160966";"";"";"Small molecule";"0";"92.57";"2";"2";"1.88";"0.00";"0";"0";"0";"1";"Y";"0.43";"None";"None";"2.08";"2.08";"0";"MOL";"-1";"5";"0";"0";"0";"92.0393";"None";"C4H9Cl";"CC(C)CCl"
"CHEMBL15980";"CYCLOHEXANE";"CYCLOHEXANE|NSC-406835";"Small molecule";"1";"84.16";"5";"14";"2.34";"0.00";"0";"0";"0";"0";"Y";"0.42";"None";"None";"2.67";"2.67";"0";"MOL";"0";"6";"0";"0";"0";"84.0939";"None";"C6H12";"C1CCCCC1"
"CHEMBL164852";"";"";"Small molecule";"0";"88.11";"1";"1";"0.62";"32.67";"2";"0";"0";"2";"Y";"0.37";"None";"3.42";"0.40";"0.40";"0";"MOL";"-1";"6";"3";"0";"0";"88.0637";"NEUTRAL";"C3H8N2O";"CCN(C)N=O"
"CHEMBL276849";"2-PYRROLIDONE";"Pyrrolidin-2-one";"Small molecule";"0";"85.11";"8";"33";"-0.10";"29.10";"1";"1";"0";"0";"Y";"0.44";"None";"None";"-0.58";"-0.58";"0";"MOL";"-1";"6";"2";"1";"0";"85.0528";"NEUTRAL";"C4H7NO";"O=C1CCCN1"
"CHEMBL356703";"";"2-Methyl-Isothiourea|S-Methylisothiourea";"Small molecule";"0";"90.15";"15";"15";"0.24";"49.87";"2";"2";"0";"0";"Y";"0.33";"None";"10.63";"0.41";"-1.94";"0";"MOL";"-1";"5";"2";"3";"0";"90.0252";"BASE";"C2H6N2S";"CSC(=N)N"
"CHEMBL2270347";"";"";"Small molecule";"0";"97.12";"1";"6";"0.45";"44.02";"2";"1";"0";"2";"Y";"0.51";"None";"None";"0.05";"0.05";"0";"MOL";"-1";"7";"2";"1";"0";"97.0528";"NEUTRAL";"C5H7NO";"C=C[C@@H](O)CC#N"
"CHEMBL80352";"";"N-Hydroxyhydrazinecarboximidamide";"Small molecule";"0";"90.09";"3";"8";"-1.64";"94.16";"3";"5";"0";"0";"N";"0.11";"None";"10.03";"-1.41";"-3.62";"0";"MOL";"-1";"6";"5";"6";"1";"90.0542";"BASE";"CH6N4O";"N=C(NN)NO"
"CHEMBL21533";"";"4-Methyl-Piperidine";"Small molecule";"0";"99.18";"1";"5";"1.01";"12.03";"1";"1";"0";"0";"Y";"0.48";"None";"10.36";"0.94";"-1.83";"0";"MOL";"-1";"7";"1";"1";"0";"99.1048";"BASE";"C6H13N";"CC1CCNCC1"
"CHEMBL1213529";"ACRYLIC ACID";"Acrylic Acid";"Small molecule";"0";"72.06";"6";"6";"0.26";"37.30";"1";"1";"0";"1";"Y";"0.45";"4.52";"None";"0.53";"-2.26";"0";"MOL";"-1";"5";"2";"1";"0";"72.0211";"ACID";"C3H4O2";"C=CC(=O)O"
"CHEMBL15732";"";"2-Methyl-Pyridine";"Small molecule";"0";"93.13";"3";"10";"1.39";"12.89";"1";"0";"0";"0";"Y";"0.47";"None";"5.81";"0.89";"0.88";"1";"MOL";"-1";"7";"1";"0";"0";"93.0578";"NEUTRAL";"C6H7N";"Cc1ccccn1"
"CHEMBL2071034";"";"";"Small molecule";"0";"98.11";"1";"2";"-0.60";"56.73";"4";"1";"0";"0";"N";"0.47";"None";"None";"-0.21";"-0.21";"1";"MOL";"-1";"7";"4";"2";"0";"98.0592";"NEUTRAL";"C3H6N4";"Cn1cc(N)nn1"
"CHEMBL116902";"PROPYNE";"Propyne";"Small molecule";"0";"40.06";"1";"1";"0.64";"0.00";"0";"0";"0";"0";"Y";"0.35";"None";"None";"0.99";"0.99";"0";"MOL";"-1";"3";"0";"0";"0";"40.0313";"None";"C3H4";"C#CC"
"CHEMBL540";"IMIDAZOLE";"Imidazole";"Small molecule";"0";"68.08";"25";"48";"0.41";"28.68";"1";"1";"0";"0";"Y";"0.47";"13.40";"6.97";"-0.15";"-0.24";"1";"MOL";"-1";"5";"2";"1";"0";"68.0374";"NEUTRAL";"C3H4N2";"c1c[nH]cn1"
"CHEMBL1193103";"";"";"Small molecule";"0";"89.09";"2";"2";"-0.88";"52.32";"3";"1";"0";"1";"Y";"0.42";"None";"7.09";"-1.00";"-1.17";"0";"MOL";"-1";"6";"3";"2";"0";"89.0477";"NEUTRAL";"C3H7NO2";"COC(=O)CN"
"CHEMBL97965";"";"";"Small molecule";"0";"99.14";"1";"1";"-0.77";"41.29";"3";"2";"0";"0";"Y";"0.42";"None";"6.41";"-0.36";"-0.40";"0";"MOL";"-1";"7";"3";"3";"0";"99.0796";"NEUTRAL";"C4H9N3";"CN1C=CNC1N"
"CHEMBL1213530";"PROPIOLIC ACID ";"Propiolic Acid";"Small molecule";"0";"70.05";"2";"7";"-0.30";"37.30";"1";"1";"0";"0";"Y";"0.40";"1.99";"None";"0.18";"-3.34";"0";"MOL";"-1";"5";"2";"1";"0";"70.0055";"ACID";"C3H2O2";"C#CC(=O)O"
"CHEMBL444965";"ETHANEPEROXOIC ACID";"Peracetic Acid";"Small molecule";"0";"76.05";"1";"6";"0.02";"46.53";"3";"1";"0";"0";"Y";"0.33";"7.69";"None";"-0.30";"-0.48";"0";"MOL";"-1";"5";"3";"1";"0";"76.0160";"NEUTRAL";"C2H4O3";"CC(=O)OO"
"CHEMBL18475";"CYCLOBUTANE CARBALDEHYDE";"Cyclobutanecarbaldehyde";"Small molecule";"0";"84.12";"1";"1";"0.99";"17.07";"1";"0";"0";"1";"Y";"0.43";"None";"None";"0.84";"0.84";"0";"MOL";"-1";"6";"1";"0";"0";"84.0575";"NEUTRAL";"C5H8O";"O=CC1CCC1"
"CHEMBL4530853";"";"";"";"0";"89.16";"1";"2";"0.51";"3.24";"1";"0";"0";"1";"Y";"0.43";"None";"None";"0.78";"0.78";"0";"MOL";"-1";"5";"1";"0";"0";"89.0299";"None";"C3H7NS";"CN(C)C=S"
"CHEMBL1897156";"";"";"Small molecule";"0";"76.16";"3";"3";"1.32";"0.00";"1";"1";"0";"0";"Y";"0.41";"10.12";"None";"1.40";"1.40";"0";"MOL";"-1";"4";"0";"0";"0";"76.0347";"NEUTRAL";"C3H8S";"CC(C)S"
"CHEMBL4463982";"";"";"";"0";"66.02";"1";"2";"0.88";"60.25";"1";"1";"0";"0";"N";"0.24";"5.09";"None";"0.08";"-0.15";"0";"MOL";"-1";"3";"3";"1";"0";"43.0170";"ACID";"HN3Na+";"[N-]=[N+]=N.[Na+]"
"CHEMBL1451833";"";"";"Small molecule";"0";"78.07";"19";"48";"0.59";"47.58";"2";"0";"0";"0";"Y";"0.40";"None";"None";"0.41";"0.41";"0";"MOL";"-1";"6";"2";"0";"0";"78.0218";"NEUTRAL";"C4H2N2";"N#C/C=C/C#N"
"CHEMBL15544";"";"4-Methyl-Pyridine";"Small molecule";"0";"93.13";"3";"7";"1.39";"12.89";"1";"0";"0";"0";"Y";"0.47";"None";"5.85";"1.27";"1.26";"1";"MOL";"-1";"7";"1";"0";"0";"93.0578";"NEUTRAL";"C6H7N";"Cc1ccncc1"
"CHEMBL177905";"";"";"Small molecule";"0";"86.13";"1";"1";"1.18";"12.53";"1";"0";"0";"1";"Y";"0.44";"None";"None";"1.31";"1.31";"0";"MOL";"-1";"6";"1";"0";"0";"86.0732";"NEUTRAL";"C5H10O";"CCC1OC1C"
"CHEMBL2146115";"SODIUM HYPOPHOSPHITE";"SODIUM HYPOPHOSPHITE";"Small molecule";"0";"85.96";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"1";"None";"None";"None";"None";"85.9534";"None";"NaO2P";"O=P[O-].[Na+]"
"CHEMBL2106398";"ISOBUTANE";"ISOBUTANE";"Small molecule";"0";"58.12";"";"";"1.66";"0.00";"0";"0";"0";"0";"Y";"0.40";"None";"None";"2.08";"2.08";"0";"MOL";"0";"4";"0";"0";"0";"58.0783";"None";"C4H10";"CC(C)C"
"CHEMBL2171712";"ISOTHIAZOLE";"Isothiazole";"Small molecule";"0";"85.13";"1";"1";"1.14";"12.89";"2";"0";"0";"0";"Y";"0.46";"None";"1.96";"0.94";"0.94";"1";"MOL";"-1";"5";"1";"0";"0";"84.9986";"NEUTRAL";"C3H3NS";"c1cnsc1"
